STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,SOCECO,Socio-economic context,_X,Unspecified,HTN,Services,2019,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,SOCECO,Socio-economic context,_X,Unspecified,HTN,Services,2021,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,WATER,Freshwater resources,_X,Unspecified,_T,Total - all activities,2019,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,WATER,Freshwater resources,_X,Unspecified,_T,Total - all activities,2021,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,GDP_R,Real GDP,IX,Index,_T,Total - all activities,2019,,167.32,,E,Estimated value,,,0,Units,_Z,Not applicable,2000,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,GDP_R,Real GDP,IX,Index,_T,Total - all activities,2021,,177.25,,E,Estimated value,,,0,Units,_Z,Not applicable,2000,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,ELEC_FFS,Electricity support,PT_SUPP_FOS_FL,Percentage of fossil fuel support,_T,Total - all activities,2019,,17.11,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,ELEC_FFS,Electricity support,PT_SUPP_FOS_FL,Percentage of fossil fuel support,_T,Total - all activities,2021,,11.31,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,GHG_DBPROD,"Demand-based GHG productivity, GDP per unit of energy-related GHG emissions",USD_KG_CO2E,US dollars per kilogramme of CO2-equivalent,_T,Total - all activities,2019,,2.33,,A,Normal value,,,0,Units,Q,Constant prices,2015,,3,3 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,POP_Y_LT14,"Population, ages 0-14",PT_POP,Percentage of population,_T,Total - all activities,2019,,16.11,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,POP_Y_LT14,"Population, ages 0-14",PT_POP,Percentage of population,_T,Total - all activities,2021,,15.76,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,ODA_CCMIT,ODA targeting climate change mitigation,PT_APD_SEC,Percentage of sector-allocable official development assistance,_T,Total - all activities,2019,,18.5,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,ODA_CCMIT,ODA targeting climate change mitigation,PT_APD_SEC,Percentage of sector-allocable official development assistance,_T,Total - all activities,2021,,19.64,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,SOCECO,Socio-economic context,_X,Unspecified,A,"Agriculture, forestry and fishing",2019,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,SOCECO,Socio-economic context,_X,Unspecified,A,"Agriculture, forestry and fishing",2021,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,GHG_PBEMCAP,"Production-based GHG intensity, energy-related GHG per capita",T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2019,,22.25,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,TECHPAT_RD,Technology and innovation: R&D,_X,Unspecified,_T,Total - all activities,2019,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,TECHPAT_RD,Technology and innovation: R&D,_X,Unspecified,_T,Total - all activities,2021,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,GDP_PC,Value added,PT_B1G,Percentage of gross value added,HTN,Services,2019,,70.75,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,GDP_PC,Value added,PT_B1G,Percentage of gross value added,HTN,Services,2021,,66.78,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,EGS,Environmental goods and services,_X,Unspecified,_T,Total - all activities,2020,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,EGS,Environmental goods and services,_X,Unspecified,_T,Total - all activities,2019,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,ODA_ENV,Environment-related ODA,PT_APD_SEC,Percentage of sector-allocable official development assistance,_T,Total - all activities,2020,,52.41,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,ODA_ENV,Environment-related ODA,PT_APD_SEC,Percentage of sector-allocable official development assistance,_T,Total - all activities,2019,,65.26,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,NRG,Energy productivity,_X,Unspecified,_T,Total - all activities,2019,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,NRG,Energy productivity,_X,Unspecified,_T,Total - all activities,2021,,,,A,Normal value,,,0,Units,,,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,LTAX,Labour tax revenue,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2019,,12.98,,E,Estimated value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,LTAX,Labour tax revenue,PT_B1GQ,Percentage of GDP,_T,Total - all activities,2021,,11.43,,E,Estimated value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,AUS,Australia,A,Annual,GDP_PC,Value added,PT_B1G,Percentage of gross value added,A,"Agriculture, forestry and fishing",2019,,2.15,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
